,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Connection Type,Range,Hazardous,Min Outlet Pressure,Max Outlet Pressure,Connection Gender,Material,Seal Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Connection,Thread Standard,Max Set Pressure,Thread Size,Maximum Operating Temperature,Application,Grade,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Pack Quantity,Attachment 3,Attachment 4,Attachment 5,Weight,Size,Colour,Operating Temperature,Warranty,Connection Size (mm),Actuator Type,Ball Material,Handle Material,Handle Type,Number of Ports,Operator Type,Seat Material,Bio Fuels,Oil Supply Pipe Connection,Temperature Rating,Nominal Fuel Flow Rate Diesel,Nominal Fuel Flow Rate Kerosine,Manual Reset,Body Material,Manual,Material Type,Thickness,Diameter,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Boiler Section,Boiler Range,Part Gas Council number,Voltage Rating,Dimensions mm (H x W x D),Protection Time,Drainage Product Type,Resistance Features
227,PK74456,JET Range 51LS lock shield gate valve (BSP) PN20 40mm Bronze,JET Range,283.32,"This JET Range 51LS gate valve with lockshield is designed for isolating pipelines. With 40mm BSP tapered female connections, the valve includes a bronze body, wedge, screwed bonnet, non-rising stem and wheel handle. A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multiturn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range 51LS lock shield gate valve (BSP) PN20 40mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/57/NW-K74452_K74457_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET51_JET51LS_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PP00891,JET Range P00891 NAS sheet 1.5 x 500 x 500mm,JET Range,62.44,"Suitable for use with a wide range of substances, including refrigerants, oils, gases and fuels, this JET Range 1.5 x 500 x 500mm NAS sheet is made of synthetic fibre with NBR.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range P00891 NAS sheet 1.5 x 500 x 500mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/93/NW-P00890_P00893_wm.jpg,,,,N/A,,N,,,,Synthetic Fibre with NBR,,,JET_NAS1.5MM_500SQ,Non-asbestos Sheet,N,Combines synthetic and glass fibres,High stress relaxation,Dimensionally stab,Suitable for high temperature steam and water,Improved resistance against hydrocarbons,Suitable for use with a range of different media,,,,,,,,,,,,,,,,,,,,,,,,,,,500mm,White/Green,,,,,,,,,,,,,,,,,,,,1.5 mm,,,,,,,,,,,,,
229,PK74442,JET Range 51 wheel head gate valve (BSP) PN20 8mm Bronze,JET Range,57.09,"This JET Range 51 gate valve is designed for isolating pipelines. With 8mm BSP tapered female connections, the valve includes a bronze body, wedge, screwed bonnet, non-rising stem and wheel handle. A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multiturn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range 51 wheel head gate valve (BSP) PN20 8mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/51/NW-K74442_K74451_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET51_JET51LS_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,P410607,+ @ PARTS 7224764 3WAY VLV W/O BYPAS KIT,Thermcross,141.62,"A 3-way valve designed for use in the diverter valve section of Baxi boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> + @ PARTS 7224764 3WAY VLV W/O BYPAS KIT",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/07/410607_wm.jpg,,,,,,N,,,,,,,547018,3-Way Valve,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diverter Valve,"Platinum ErP, Duo-tec, Main Eco Elite ErP, Duo-tec ErP, Promax ErP, Gold, Titanium, Platinum, Gold ErP, Main Eco Elite, Promax, Titanium ErP, Heatmax",743188,,,,,
231,PK65662,JET Range BBV21 gas lever operated ball valve (BSPP) WRAS 10mm,JET Range,23.28,"This JET Range BBV21 lever operated ball valve includes 10mm BSPP end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV21 gas lever operated ball valve (BSPP) WRAS 10mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/71/NW-K65661_K65671_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_BBV21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,P531463,Intatec Ball Valves BBV209315B butterfly handle ball valve 15mm Blue,Intatec,8.25,"Made of brass, this Intatec two-port isolating ball valve is designed with blow-out resistant stems, double Viton seals and 15mm compression connections. It has a blue butterfly-type handle.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Intatec Ball Valves BBV209315B butterfly handle ball valve 15mm Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/63/NW-531463_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Intatec_Ball_Valves_Technical_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PK65291,* JET BBV34MFL MINIBRASSBALL VALVE   8,JET Range,19.58,"Lever-operated, this JET Range BBV34MFL manual mini ball valve has a brass body and PTFE seat. It is fitted with 8mm BSP male x BSP female connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> * JET BBV34MFL MINIBRASSBALL VALVE   8",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/93/NW-K65291_K65293_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_BBV34MFL_Mini_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PK64786,* JET BLUE LEVER AND SCREW FOR JET BBV35,JET Range,0.7,"This JET Range lever, blue to indicate a cold water supply, is for use with BBV35 brass isolating valves.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> * JET BLUE LEVER AND SCREW FOR JET BBV35",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/86/NW-K64786_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Brass_Ball_Valves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PK65670,JET Range BBV21 gas lever operated ball valve (BSPP) WRAS 80mm,JET Range,578.16,"This JET Range BBV21 lever operated ball valve includes 80mm BSPP end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV21 gas lever operated ball valve (BSPP) WRAS 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/71/NW-K65661_K65671_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_BBV21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PK15177,Crane F629 gear operated lugged butterfly valve 350mm,Crane,9339.53,"Fitted with 350mm connections, this Crane F629 butterfly valve has a gearbox-operated, epoxy-coated ductile iron body alongside a semi-lugged aluminium bronze disc and EPDM liner.  A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane F629 gear operated lugged butterfly valve 350mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/77/NW-K15177_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_PN16_ButterflyValve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_F629_F615_F628B_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,P257437,Myson Matchmaster MASTER15LSCPF90 lockshield straight c/w pushfit 90o elbow 15mm Chrome (10),Myson,26.23,"A hardwearing choice for challenging applications, the Myson Matchmaster 15mm lockshield 90° elbow straight heating valve is easily installed thanks to its simple push-fit connection. Featuring a graphite gland packing, easily compressed by tightening the gland nut, the Matchmaster valve is designed for long lasting usability. Made of tough brass with a chrome finish, this valve is part of a broad range offering a variety of options to suit the needs of different installations.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Myson Matchmaster MASTER15LSCPF90 lockshield straight c/w pushfit 90o elbow 15mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/37/257437_wm.jpg,,,15mm,,Matchmaster,N,,,,Brass,,,MASTER15LSCPF90,DVC Valves,N,With lockshield,Straight version,Push-fit connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Meets BS 2767-10,,,,,Push Fit,BSP,,15mm,92 deg C,Central Heating,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PK74225,Rubinetterie foot valve strainer only 25mm,Rubinetterie,27.87,This 24F foot valve strainer incorporates a stainless steel body and 25mm threaded connections.,"Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Rubinetterie foot valve strainer only 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/31/NW-K74222_K74231_wm.jpg,,,25mm,Threaded,,N,,,,Stainless Steel,,,11010006,Strainer,N,From -10 to 150°C temperature,Stainless steel body,Threaded connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 mm,,-10 to 150,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,
239,PK17803,Crane Ball Valve D171AEXS DZR ball valve (BSP) PN25 15mm,Crane,77.49,"Easy to install and with effortless operation, the Crane D171AEXS PN25 manual ball valve with 15mm BSP tapered female connections has a compact and lightweight design. Lever-operated, this valve allows for full flow with minimum turbulence when open and has a bubble-tight seal in its closed position. Made of DZR bronze with a PTFE seal, the D171A.PF has a red steel lever.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane Ball Valve D171AEXS DZR ball valve (BSP) PN25 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/04/NW-K17803_K17804_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D171A-D171AEXS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D171_1907008_WRAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_CopperAlloy_Ball_Valve_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PK70135,JET Range 806 safety valve set 20mm 3.5bar,JET Range,272.48,"Jet 806 top guided bronze safety relief valve incorporates a high discharge capacity with an unobstructed seat bore, which facilitates reliable operation. Positive re-sealing is achieved by the PTFE to metal seating design ideal for general purpose duties. Inlet and outlet connections are screwed BSP female threads, easing lever is fitted as standard, the pressure once set is securely sealed by means of a locking wire. The Jet Range 806 safety relief valve can be used for boiler, pipeline and vessel protection handling hot water, air and inert gases. To prevent unnecessary operation of the valve, there must be an adequate margin between the set pressure of a safety valve and the normal working pressure of the system. Typically using 0.7bar (10psi) above the normal working pressure, providing this does not exceed the design pressure for the system.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range 806 safety valve set 20mm 3.5bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/06/NW-K70110_K70206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_806_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_806_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PK65543,JET Range BBV25NP tee handle copper x copper ball valve 15mm,JET Range,48.58,"T-handle-operated, this JET Range BBV25NP manual ball valve has a robust brass body and PTFE seat. It is fitted with 15mm compression connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV25NP tee handle copper x copper ball valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/45/NW-K65543_K65545_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PK74452,JET Range 51LS lock shield gate valve (BSP) PN20 15mm Bronze,JET Range,64.56,"This JET Range 51LS gate valve with lockshield is designed for isolating pipelines. With 15mm BSP tapered female connections, the valve includes a bronze body, wedge, screwed bonnet, non-rising stem and wheel handle. A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multiturn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range 51LS lock shield gate valve (BSP) PN20 15mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/57/NW-K74452_K74457_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET51_JET51LS_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PK74472,JET Range globe valve (BSP) PN20 25mm Bronze,JET Range,132.03,"The JET Range 15 bronze PN20 globe valve with 25mm BSP female connections is designed to isolate and regulate flow in pipelines. With a bronze body and bonnet and renewable PTFE discs, this valve is also fitted with a rising stem and wheelhandle for easy operation.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range globe valve (BSP) PN20 25mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/75/NW-K74470_K74475_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_15_Globe_Valve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET15_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
